"BehaviorSpace results (NetLogo 5.2.0)"
"Ant2.nlogo"
"Beg-1-50pop"
"07/18/2015 14:21:17:497 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","max-step-size","max-turn-angle","[step]","ticks"
"2","50","4","60","394","394"
"3","50","4","60","371","371"
"1","50","4","60","399","399"
"4","50","4","60","508","508"
"6","50","4","120","369","369"
"5","50","4","60","471","471"
"7","50","4","120","281","281"
"9","50","4","120","367","367"
"8","50","4","120","260","260"
"10","50","4","120","463","463"
"11","50","8","60","526","526"
"12","50","8","60","796","796"
"13","50","8","60","533","533"
"14","50","8","60","662","662"
"16","50","8","120","291","291"
"17","50","8","120","293","293"
"18","50","8","120","271","271"
"15","50","8","60","581","581"
"19","50","8","120","355","355"
"20","50","8","120","242","242"
"21","100","4","60","192","192"
"23","100","4","60","182","182"
"22","100","4","60","178","178"
"24","100","4","60","210","210"
"26","100","4","120","184","184"
"27","100","4","120","140","140"
"25","100","4","60","188","188"
"28","100","4","120","226","226"
"30","100","4","120","144","144"
"29","100","4","120","191","191"
"31","100","8","60","325","325"
"32","100","8","60","242","242"
"33","100","8","60","269","269"
"35","100","8","60","276","276"
"34","100","8","60","407","407"
"36","100","8","120","134","134"
"37","100","8","120","136","136"
"38","100","8","120","122","122"
"40","100","8","120","143","143"
"39","100","8","120","128","128"
