"BehaviorSpace results (NetLogo 5.2.0)"
"LogisticModel.nlogo"
"experiment"
"07/25/2015 08:22:19:626 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","initial-population","carrying-capacity","deathrate","birthrate","[step]","count turtles"
"1","1","50","0","2.5","10","30"
"2","2","50","0","2.5","9","30"
"3","3","50","0","2.5","11","30"
"4","4","50","0","2.5","9","30"
"5","5","50","0","2.5","8","30"
"6","6","50","0","2.5","10","30"
"7","7","50","0","2.5","10","30"
"8","8","50","0","2.5","10","30"
"9","9","50","0","2.5","8","30"
"10","10","50","0","2.5","7","30"
"11","11","50","0","2.5","7","30"
"12","12","50","0","2.5","9","30"
"13","13","50","0","2.5","9","30"
"14","14","50","0","2.5","9","30"
"15","15","50","0","2.5","9","30"
"16","16","50","0","2.5","9","30"
"17","17","50","0","2.5","9","30"
"18","18","50","0","2.5","7","30"
"19","19","50","0","2.5","7","30"
"20","20","50","0","2.5","6","30"
"21","21","50","0","2.5","6","30"
"22","22","50","0","2.5","8","30"
"23","23","50","0","2.5","8","30"
"24","24","50","0","2.5","8","30"
"25","25","50","0","2.5","8","30"
"26","26","50","0","2.5","8","30"
"27","27","50","0","2.5","8","30"
"28","28","50","0","2.5","8","30"
"29","29","50","0","2.5","6","30"
"30","30","50","0","2.5","5","30"
"31","31","50","0","2.5","7","30"
"32","32","50","0","2.5","7","30"
"33","33","50","0","2.5","9","30"
"34","34","50","0","2.5","9","30"
"35","35","50","0","2.5","9","30"
"36","36","50","0","2.5","9","30"
"37","37","50","0","2.5","9","30"
"38","38","50","0","2.5","9","30"
"39","39","50","0","2.5","7","30"
"40","40","50","0","2.5","7","30"
"41","41","50","0","2.5","8","30"
"42","42","50","0","2.5","10","30"
"43","43","50","0","2.5","10","30"
"44","44","50","0","2.5","10","30"
"45","45","50","0","2.5","8","30"
"46","46","50","0","2.5","9","30"
"47","47","50","0","2.5","11","30"
"48","48","50","0","2.5","9","30"
"49","49","50","0","2.5","10","30"
